Real,Prediccion
3930.08,4066.0352392983787
2354.31,2231.1513550240797
1678.55,1080.9131776458662
1141.38,496.42191093132897
2532.48,2482.918186051651
1706.68,1699.9154386416822
3716.88,3921.1985216873945
3293.36,3319.3709505740444
6008.64,5994.039554774319
1918.38,1367.628166692718
8477.56,8185.777573403209
3571.54,3571.8879374926855
2735.25,2860.9149207898645
2150.47,1801.31940879976
2038.74,1698.9981969263126
11028.1,9607.10234662284
2843.68,2950.7395092261977
1912.7,1725.8194414442887
2047.22,1800.1426939113226
4338.36,4403.050804185996
3693.48,3734.4010899647838
5751.68,5641.8885313486135
1338.0,553.7964582323057
2768.52,2663.4648548622354
3104.92,3166.952102829604
2144.52,1699.2825725726789
2562.32,2440.8991464417395
2151.66,1786.4508561471612
4417.56,4489.092582302666
3122.8,3209.760127016347
1842.6,2103.6183062290793
2692.17,2823.354298002165
7854.56,7773.549139967599
6511.4,7326.439176090762
1179.42,701.4848680338691
1874.64,1341.7860556707928
15901.0,11395.613205734058
2396.38,2221.318651878697
3652.88,3581.0927038900863
3154.68,3428.9758569109053
5243.2,6895.5040503482305
2671.13,2760.903664022566
1761.42,1882.481123888152
7820.8,7603.726606052725
2005.7,1872.6266788044204
1627.8,1359.576240376413
3060.48,3293.7658675494677
2579.57,2562.5209094817073
4196.52,4346.1522183255365
2227.96,1932.1621653651173
7569.38,7400.6402043273265
3062.76,2970.2978108676507
4751.28,4839.099576041626
1577.48,1257.7184948567283
3203.76,3211.3258445175925
1468.44,950.5291656177969
1974.7,1679.72838696314
2419.76,2543.652936544864
4931.08,6337.7543666169
4543.14,4650.290171894096
2801.26,2817.6747487011417
3134.64,3503.260685999181
5656.7,5684.071926225832
4854.2,6147.784113984555
6941.04,7454.737468871388
3826.2,4373.757251668872
6288.3,7770.34402421561
3236.52,3209.1943604676126
1888.08,1277.7132399473385
3435.68,4413.847162920449
2644.74,2815.6407217659525
4933.8,5156.943370106579
4563.18,4734.792314816017
2418.6,3429.2765653684164
3515.31,3892.094237519261
3788.26,3727.546440627677
2112.06,1673.8394627577463
4247.74,4222.250195665842
2611.08,2665.6580304557683
6807.24,6435.165707342954
18975.0,12882.917461549725
4239.62,4216.425042568599
2238.1,2086.4867351566563
2252.53,1875.299152225357
2356.8,2335.6601347087217
5083.36,5324.534608812764
1912.0,1544.8728579888248
1036.44,175.13168010914887
1684.28,1593.8834082588128
2994.32,3173.1483850987333
2673.6,2569.046524436637
3512.63,4198.088043254018
2559.84,2396.3489546252804
1658.94,1805.2225378948833
11878.9,11182.888552006432
2378.8,2493.3750121243575
5795.64,5886.439892294757
3035.62,3095.802712864237
2031.06,1703.229396572523
3637.81,4355.772952743795
3185.73,3486.936325151386
6263.62,6253.976569565373
4093.8,4301.952189593056
5877.34,7120.272527223096
1543.4,1145.187600432786
4881.8,6373.998716591312
2121.42,1834.7839281821025
1766.28,1852.7039930858255
3529.26,3691.1607953055627
2099.84,2007.6520549194984
1736.34,1126.271825861697
2601.6,2537.732834784325
6128.28,5936.433780600983
8992.96,8566.65078946651
3577.28,3597.8957051682573
6998.08,7648.653589737869
2489.64,2305.7113383895485
3680.04,3763.2930180625335
2760.94,2890.294910683575
10386.3,9422.44566779876
3453.36,3357.4888756908513
1614.2,911.754988934561
4926.4,5091.2001806072785
4704.8,4676.066301034141
4202.24,4585.129221004243
2282.91,1976.4683292510153
2286.9,2189.6789494403674
2493.84,2379.9464901277825
1949.7,1446.4484300287604
3558.83,4228.437600388499
2300.5,2282.4363489167554
1612.15,883.2697008639134
2262.84,2223.9436589966062
3536.88,3501.1383829062015
8463.52,7859.893805028554
2977.8,3397.6076124202646
2451.4,2400.674732642421
5963.54,6051.278810774151
4906.72,6102.147887421614
1169.91,560.5762872812302
1447.95,607.824956858206
3961.6,4074.444380728948
1495.92,1277.7123842100382
3524.5,3487.0927304600355
2534.42,2441.0982874551682
1948.56,1472.985852781796
3544.5,4029.728963094094
1059.6,318.0798315133761
2591.52,2679.117328194816
4783.94,4969.849771823743
2592.56,2689.8144591926957
1798.86,1351.5911220335674
2302.44,2039.390502790604
1572.36,1474.039246704705
2555.56,2443.423007066367
2525.44,2412.052410000064
6178.76,7128.698512414236
3694.68,3820.3757763982176
2785.68,2913.745251679169
1206.57,757.7235742829416
3953.74,3978.3790776588176
9547.56,8770.15515908214
10775.5,9273.459675519458
2501.1,2611.0964640703623
3750.46,3748.08835054715
3738.4,4205.870065963243
3497.04,3887.6098729605583
3201.9,3704.2655945971146
4203.36,4498.194798881414
3553.8,3997.4645802996747
3335.5,3404.130311323057
2230.41,2038.6341843131568
4113.36,4444.2891242965015
4719.04,4650.535910709841
8062.6,7603.292718642559
2097.36,1856.3769641451217
2711.16,2675.136012676572
18384.2,12577.87352076124
3490.4,3997.298379061229
3320.01,3569.671655878441
5275.65,6834.277802716675
1172.55,643.0742352877633
2325.47,1970.9479594488284
3957.76,4026.5794613241906
2829.76,2968.5605667160726
5978.14,7256.347588132578
1245.78,971.8761004776852
2723.04,2680.0120825510785
2862.48,2873.3232536481246
11303.6,9798.54101162794
7058.88,7750.603982642868
4027.5,4188.388123789298
2030.7,1697.420879514655
4111.94,4151.095870106352
5632.74,5549.257700356526
3502.24,3598.578053811041
5585.58,5676.0602763048955
5693.94,7074.783537688863
6018.98,6115.1557852072
6321.48,6128.581127883759
1580.4,918.414394771411
3046.64,3223.4299857117985
2519.4,2584.446722536479
4523.4,4695.656941027
3752.32,3912.0811519012314
2036.86,1805.193554393737
16502.2,11836.9666839887
2611.28,2706.2544466748222
3993.48,4279.01600039179
1524.12,1054.8013146633193
3214.8,3276.872128838615
2430.33,2513.129108684294
2931.12,3227.9639564306326
2130.17,1776.8389993615365
2849.9,2827.24856291743
5369.52,6662.299476961214
4847.36,5127.544723946572
4015.36,4121.85741000678
4777.56,5818.575083498221
4942.0,5196.208603609881
5251.0,5248.838502629267
3868.0,4007.1636262618285
2134.44,1779.085942351874
2959.12,3592.2007274212974
